Community,Members
11,13-cis retinoic acid; acute-phase response; age at calving; all-trans retinoic acid; apoptosis; aquaculture industry; at remodeling; atm inflammatory phenotype expression; bacterial culture; basal glucose levels; basal insulin levels; benchtop somatic cell counter; blood sample; blood sampling; body condition score; brd cases; calves; candidate genes; cellular proliferation; chromosomes; circulating acid isomer; co2eq; coliform mastitis; colostrum samples; concentrate pellets; culture with gram-positive selective media; cultured japanese flounder; dams; death of the animal; digestibility of total fatty acids; dry cow secretions; e. coli challenge; early weeks of bovine lactation; ewes; extracellular matrix changes; farms; fat addition; feed processing; feedstuffs; field level inputs; genes; genetic markers; genetic regulatory mechanisms; genetic strain-typing analysis; genetic traits; genome-wide association study; greenhouse gas emissions (gwp); gwp; gwp (kg of co2eq); gwp of tmr; haylage; high water temperature; high-temperature stress; high-temperature tolerance; immune response; immune systems; immune-inhibitory response; impaired milk production; ingredients; intramammary infections; intravenous glucose infusion; japanese flounder; lambs; lipolysis; liver and muscle tissues; loci; low-energy diet; maternal behaviour observation; mating; metabolic function of at; metabolite concentrations and cell signaling activity; milk meal; moderate energy diet; molecular tool; not weaned; onset of lactation; parturition; pasture-fed; pasture-finishing; peripartum period; physiological changes; physiological systems; ppm1l; prepartum fat supplementation; quarters; retinol concentration in serum; ruminal fermentation characteristics; serum retinol; shortened dp of 34 d (s); single nucleotide polymorphisms (snps); slaughter; slaughtered; soybean meal (sbm); soybean meal (sbm) inclusion; stressors; survival status; survival time; tmr; traditional dp of 55 d (t); traf4; transport; vitamin a metabolism; weaning
12,1-14c-butyrate; 1-3h-mannitol flux; 2-3h-acetate; aa degradation; acetate; acetate proportion; activities of nonstarch polysaccharide-degrading enzymes; algae-supplemented group; ammonia concentration; ap; bdct; butyrate; butyrate proportion; c-sdct; cac and lac treatment; cac or lac treatment; cac treatment; cac treatment of barley; contents of physically effective neutral detergent fiber (pendf); control group; cow level application; cows' intake patterns; cp degradation; ctr diet; days ap; degradation in the rumen; degradation in the total tract; dietary pendf content; distribution of dietary particle fractions; dry matter (dm) retention; dry-cow strategies; duration of rumen ph below 5.8; enrollment week; fat:protein ratio in milk; fermentation phases; fermentation profile; fiber degradation; fractional substrate degradation; gram-positive selective media culture; high p diet; in situ ruminal aa degradation; in situ ruminal phytate (insp6) degradation; in vivo conditions; individual aa degradation; infection between quarters; infrared thermography camera; inorganic p supplementation; intake of particles retained between 1.18- and 8-mm screens; intake of pendf(>1.18); interdependence of quarters; kavfa; lac treatment; lac treatment of grain; low p diet; megasphaera elsdenii abundance; ndf degradation; neutral detergent fiber (ndf) degradation; nonstarch polysaccharide-degrading enzymes; papillae surface area; particle length (pl); particle length (pl) of corn silage (cs); particles retained between 1.18- and 8-mm screens; pendf content; pendf(>1.18); plasma amino acid concentrations; prevotella; propionate; propionate proportion; proportion of propionate; rumen in situ lag time; rumen ph; rumen wall; ruminal degradation of insp6; ruminal fiber degradation; ruminal health; ruminal microbes; ruminococcus albus; s-sdct; sbm variants; scfa concentration; short-chain fatty acid (scfa) concentration; skin temperature; somatic cell count (scc); sorting activity; sorting consumption; statistical models; substrate dm degradation; time (3 to 45d pp); tissue damage; total bacteria; total protozoa; total tract digestibility; total tract fiber degradation; total volatile fatty acids; transfer of ruminal ammonia-15n into milk protein; treatment; treatment effects; trt diet; valerate; variance estimates; volatile fatty acids; wound healing
13,"1, 5, and 9 wk of age; 3-hydroxybutyrate; 6-phosphogluconate dehydrogenase; aa; adipose tissue lipolytic response; antimicrobial peptide; antimicrobial peptide genes; arterial blood samples; association of management-related factors; atp-dependent 6-phosphofructokinase; basal in vitro lipolytic rates; beta-hydroxybutyrate; bhba; birth; calf; cholesterol; cla-supplemented diet; clinical signs; colostrum feeding time; colostrum intake; d-[u-(13)c6]glucose; dp; dry matter (dm) intake; feeding behaviour; feeding period; final course grade; first feeding; gamma-glutamyl transpeptidase activity; gender; gender by year interaction; generalized linear mixed models; glucagon; glucose; glutamic oxaloacetic transaminase activity; goat milk; growth; health benefits; hepatic mrna encoding phosphoenolpyruvate carboxykinase; hepatic mrna encoding pyruvate carboxylase; heterotic effects; high plane of nutrition; inorganic zn source; insb; insulin; insulin concentration; insulin traits; insulin traits in calves; intravenous glucose-stimulated insulin secretion test; lactate; lactate dehydrogenase; lipolytic rate; lipolytic rates in adipose tissue; lipopolysaccharide exposure; live weight (lw) gain; liver triacylglycerol accumulation; liver triacylglycerol concentration; liver triglyceride; ll; low-fat goat cheese; major; major by year interaction; majorero cheese after supercritical fluid extraction; mammary gland tissue-specific expression vector; mammary mrna abundance; management-related factors and colostrum quantity and quality; maternal effects; matriculation year; medium plane of nutrition; metabolic response; mgest; nah(13)co3; nc; nefa; nonesterified fatty acids; noradrenaline; overfed cows; overfeeding; periparturient fat supplementation; plane of nutrition; plasma fructose; plasma glucose; plasma insulin; plasma insulin concentration; plasma nonesterified fatty acid concentration; plasma samples; quicki; reduced cholesterol; reduced triglycerides; restricted feeding; season of birth; serum alkaline phosphatase activity; serum glutamic pyruvic transaminase; systemic metabolite concentrations; time; time to complete the exam; triglyceride concentrations; triglycerides; urea concentrations; year of birth; β-hydroxybutyrate"
14,1.0% ay diet; 26-wk weight; 3.5% fat-corrected milk yield; a line heifers; acidification of milk; adg (average daily gain); behavioral metrics; blood parameters; body condition score loss; body weight at 34 wk; bone ash; breeding programs; bulls; c line heifers; calf transportation; ci activity in muscle; civ activity in liver tissue; coarse alfalfa; concentrate feeding; dairy calf health; dairy calf performance; diafiltration; dietary fndf; dmi (daily dry matter intake); dry matter intake (dmi) records; economic efficiency; energy supply; energy-corrected milk (ecm) records; environmental impacts of agriculture; fe among beef cattle; feed consumed; feed consumption; feed costs; feed digestibility; feed efficiency; feed intake following transportation; fine alfalfa; fndf; gain; gain/feed consumed; genetic differences; genetic parameters of feed efficiency; glucono-δ-lactone (gdl); h line heifers; health assessments; high rfi animals; high-yielding dairy cows; inadequate transfer of passive immunity (itpi); lactation period; liver tissue; low fndf; low-fndf diet with 2% sffa; maternal health; medication; metabolic body weight (mbw) records; milk acidification; milk protein concentrate (mpc) powders; milk protein concentrates (mpc); milk replacer consumption; mitochondrial abundance; mitochondrial function; mitochondrial respiratory chain complexes; moderate reduction of pl of cs; morbidity; mortality; muscle tissue; nutrient digestion; nutrition; outcome measures; particle density; particle size; proximate composition; rate of gain; reconstitutability; rfi; rfi (residual feed intake); rfi (residual feed intake) coefficients; salivary cortisol concentrations; salmonella dublin; serum alkaline phosphatase; serum inorganic p; sex; sffa; simmental bulls; simmental heifers; source of supplemental p; stress; supplemental p; surface morphology; terciles; thermotolerance; total calcium content of mpc80; traits related to feed efficiency; transportation; ultrafiltration (uf); weaning performances; weight; weight gain; weight gains
15,"1-carbon metabolism enzymes; ammonium sulfate fractionation; anovular cows; antioxidant signaling proteins; apolipoprotein b; breeding period; bst dose of 500 mg; bst injections; caloric intake; cation-anion balance; cephapirin administration; ch4 estimation; citric acid cycle; claw disorders; co-edta; corpora lutea; dairy farm; days dry; days open; days to first postpartum ovulation; dietary composition; dietary concentrate; dietary forage to concentrate ratio; dietary na, k, and cl; disease incidence; disease susceptibility; dose rate of bst; dry period (dp) lengths; energy metabolism in ruminal tissue; equations; excessive lipolysis; factors influencing milk fat composition; feed restriction; first postpartum ovulation; gel filtration chromatography; growth parameters; heat stress (hs) challenge; heat stress mitigation; heat treatment; hepatic abundance of mtor; high concentrate diets; high density lipoproteins; hill farm research station; holstein bulls; holstein cows; horny shoe; innate immunity; insulin signaling proteins; ion exchange; jersey bulls; jersey cows; lactating dairy cows; lambda21; late-lactation cows; lipoprotein composition; low concentrate diets; low density lipoproteins; luteal cell progesterone production; luteal cells; milk fatty acids production; milk production level at the following test day (my2); milk production response; neb; negative energy balance (neb); nonammonia nonmicrobial n (nanmn) passage; older cows on s treatment; older cows on t treatment; ometal and subcutaneous adipose tissue (at); plasma lipoproteins; plasma progesterone concentration; pregnancies per ai in older cows; pregnancy per artificial insemination (ai); pregnancy rate at 70 dim; pyruvate dehydrogenase lipoamide alpha 1 mrna transcripts; pyruvate metabolism; ration formulation programs; recombinant enzyme; reproductive measures; research trials; rumen-protected met (rpm); rumen-undegradable protein (rup) content; ruminal cannulas; s treatment; sire posterior means; smartamine m; stromal vascular fraction (svf) cells; supplemental fat; t treatment; test-day milk production; test-day milk yield; test-day milk yield (my1); timing of bst treatment; total mixed ration (tmr) with rpm; total mixed ration (tmr) without rpm; treatment s; treatment t; vfa absorption; younger cows"
16,alternative breeding programs; atlantic canada dairy herds; bayesian framework; bmscc; brix threshold; brix value threshold; bulk tank milk scc threshold; calf diarrhea; calf housing; calf management practices; calving area; canadian dairy farms; case farms; case-control study; colostrum management; colostrum management practices; colostrum quality assessment; dairy farm management plans; dairy farmers' attitudes; dairy farmers' knowledge; dairy farms; dairy herd; diarrhea cases; digital brix; digital brix refractometer; direct methods; dry cow; effective postmilking teat disinfection; expansion; farm profiles; farm size; farmers' advice; farmers' attitude to animal health; feed; feeding; field settings; financial difficulties; frequency of checking ams; frequency of checking automated milking systems (ams); frequency of cleaning of the calving area; geographical regions; good hygiene of ams; good hygiene of cows; heifer; hesccav; hesccvar; hierarchical latent class model; holstein dairy herds; housing type; hygiene; hygiene measures; indirect methods; individual calf housings; inexpensive assessment; ircm; labor efficiency; low milk production; low-quality colostrum; lower ircm; management; management factors; mastitis prevention; mastitis-causing bacteria; modern dairy technology; newly built smaller farms; nhiscc; number of cows; occurrence of residues; older and larger farms; pathogens; poor ams hygiene; poor cow hygiene; preferred barn design; presence of other farm animal species; provinces of canada; radial immunodiffusion (rid) assay; rapid assessment; recursive linear and threshold models; regional differences; respiratory tract disease; rid assay; rid spectroscopy; se estimates; simulation models; sp estimates; standard linear and threshold models; study results; time spent on viewing; time spent on viewing computer data; tir spectroscopy; transmission infrared (tir) spectroscopy; two rows of tail-to-tail free stalls; undescribed animal factors; variation in intake
17,antibiotic; bacterial tolerance; biohydrogenation; blood analysis; blood sample temperature; bovine mammary epithelial cells; bovine mammary epithelial cells (bmec); bovine tissues; bronopol; challenge suspension; chemically defined agar medium; chlorhexidine; clumping factor; devices; elaidic acid; endoplasmic reticulum (er) stress; experimental challenge model; fatty acids; fatty liver syndrome; flavonoids; germicidal susceptibility; germicides; grape seed and grape marc meal extract (gsgme); hemolytic patterns; holstein cow; icam-1; icam-1 expression; il-1β; il-1β expression; il-1β mrna expression; il-6; il-6 expression; il-6 mrna expression; il-8; il-8 expression; il-8 mrna expression; inflammation; innate immune responses; intercellular adhesion molecule (icam)-1; interleukin (il)-1β; interleukin-10; intramammary infections (imi); iodophor; lactoferrin; lactoferrin mrna expression; linear dodecyl benzene sulfonic acid; linoleidic acid; mac-t cells; mastitis risk; mrna expression; mrna expression of proinflammatory markers; nylon bags; ob-rb mrna; ph-sa; pheromonicin-sa (ph-sa); pro-inﬂammatory cytokines; proinflammatory gene expression; protein a reactions; quarters of one heifer; quaternary ammonium; rifampicin; rumen; s. aureus; sample temperature; sample type; sodium dichloro isocyanuric acid; sodium hypochlorite; staph. aureus; staph. aureus infection; staphylococcus aureus; storage duration; storage temperature; strep. agalactiae imi; streptococcus agalactiae; teat dip; teat dip formulation; teat dips; teat end condition; teat health; teat skin condition; teat-dip formulation; test results; test strips; tlr2; tlr4; tlr4 mrna expression; tnf-α; tnf-α mrna expression; toll-like receptor; trans fatty acids (tfa); trans mono- and dienoic fatty acids; treated quarters; tube coagulase
18,adam; adaptive changes; ai; ai-con; ai-cse; air (acute insulin response); artificial insemination (ai); beef semen; birth weight; blood constituents; calving records; chemotactic response of blood polymorphonuclear leukocytes; cidr; control semen; crossbreeding; cse-treated semen; dairy cattle breeding; dairy crossbreeding; danish holstein (dh) breed; danish jersey (dj) breed; danish red (dr) breed; day of ai; di (disposition index); digestibility of adf; digestibility of cp; digestibility of dm; digestibility of organic matter; easy calving progeny; escherichia coli mastitis; estimating allele effects; estrus; estrus detection; f1 crossbred females; first-parity cows; genetic returns; genomic selection; genomic test; gestational age; gnrh; gnrh injection; gnrh treatment; heart girth circumference; heifers; hemicellulose digestibility; herd composition; initial breed; insb (basal insulin level); insemination; longevity in danish dairy cattle; longevity of dairy cattle; low dm silages; maintenance of homeostasis; newborn calves; nh3-treated alfalfa; nonpregnancy diagnosis; nutrient intake; operational return; operational returns; p/ai on d 29; p/ai on d 54; pgf2α treatment; pregnancy evaluation; pregnancy per ai; presynchronization; progesterone (p4) analysis; pure-breeding scenario; pure-breeding scenarios; quicki (quantitative insulin sensitivity check index); replacement heifers; resynchronization; retained n; semen extender; sexed semen; sexed semen schemes; simherd crossbred; sires; standing estrus; surplus dairy calves; swedish holstein; swedish red; timed ai; timed ai (tai); tissue n retention; total economic return; treatment of semen with cse; vitality status; young females
19,"acute puerperal metritis (apm); behavioural measures; blood samples; breeding tools; casp kids; caustic paste disbudding; caut kids; cautery disbudding; cef; cef + fm; chronic endometritis; closed, dry wounds; clov kids; clove oil disbudding; clove oil injection; con; conception rate; control diet (con); corn; cortisol concentrations; cryo kids; cryosurgical disbudding; ddgs; decrease in serum albumin; dim; disbudded kids; diseases in the current lactation; distillers dried grains with solubles (ddgs); enriched group; exploratory behaviour; faeces; fever; fibrinogen; first-lactation performance; flunixin meglumine (fm); ground corn; haptoglobin; haptoglobin concentrations; hfdg; high bst dosage (700 mg/14 d); high fibre diet (hf); higher-fat diet with traditional ddgs (hfdg); imi; increase in serum amyloid a; lactating holstein and simmental cows; lactation performance; lfdg; liquid nitrogen disbudding; liver to plasma ratios of phe and tyr; long-term effects; low-fat ddgs (lfdg) diet; low-protein diet (lp); metabolic parameters; metabolic profile; milk protein yields; oestradiol concentrations; oxytocin; oxytocin levels; pain; phosphorylated akt abundance in hs cows; pig welfare; plasma cholesterol; positive emotions; positive welfare; pregnancy rate; prepubertal growth phase; production capacity; puberty; reproductive performance; serotonin; serotonin levels; serotoninergic system; serum cortisol; sham disbudding; skin temperatures; soybean products; straw provision; systemic acute-phase reaction; systemic antibiotic treatment; time points; tissue repair; total economic returns; undesirable behaviours; whole body urea flux"
20,"adipose tissue macrophage (atm); aldehydes; area of ruminal ph<5.6, 5.8 and 6.0; bacterial families; ca diet; casein protein production; cheese properties; cheese transversal relaxation time; cholesterol-removed gouda cheese (crgc); coagulase-negative staphylococci ircm; control; control cheese; crgc; crgc cheese; cross-linked β-cyclodextrin (β-cd); culture-negative ircm; duration of ruminal ph<5.6; e. coli; el; esters; fat supplementation; feeding strategy; flavor compounds; free fatty acids; furan; gouda cheese; gouda cheese (control); high-grain diet; in situ fiber digestibility; inflammatory response; ketone concentration; ketones; la (lactic acid) treatment; lactic acid concentration; lactone concentration; low and medium bmscc herds; low-field nuclear magnetic resonance; lps binding protein; maillard browning reaction; milk cp production; milk fat yield; milk measures; milk protein percentage; nd02 strain; negative health effects; nε-(carboxymethyl)lysine; order of fat addition; organic acids; other streptococcal ircm; pmr; québec; ripening; ripening time; rumen fermentation; ruminal acidosis; ruminal bacterial communities; ruminal lipopolysaccharide (lps) concentration; ruminal ph status; ruminal resistant starch; serum amyloid a; short peptides; solid-phase microextraction (spme) method; staph. aureus ircm; staphylococcus aureus ircm; strep. dysgalactiae ircm; strep. uberis ircm; streptococcus dysgalactiae ircm; sulfur; supplement; supplement feeding; supplement feeding amount; tie-stalls; total volatile concentration; trt1 (0.5% la); trt2 (1.0% la); true protein production; tumour necrosis factor; western provinces"
21,adult females; atmospheric concentration; backfat thickness (bft); beef production systems; bhb level; blood biochemical attributes; body condition; body condition score (bcs); body weight (bw) data; body weight gain; carcass quality; carcass traits; ch4 emission per cow; ch4 emission per kilogram of milk; ch4 emissions; concentrate supplementation; cu levels; daily feed intake; diet quality; dry season; ewe body condition score (bcs); ewe bw (ebw); ewe health; expected range; external concentrates; feed conversion efficiency; feeding fat during late pregnancy; feeding management; forage harvested on-farm; free grazing; global warming; guar straw; hay and pasture feeding; high amounts of external concentrates; high-input production system; intensive feeding; lamb bw (lbw); large dairy farms; laser methane detector (lmd); late dry season; lbw development; linear regression; live weight gain (lwg); low-input production system; macro- and microelement status; maize silage; maternal energy metabolism profiles; metabolic indicators; metabolic indicators (e.g. β-hydroxybutyrate (bhb)); metabolic status; methane (ch4) emissions; mineral supply; mountain region; nutritional intervention; parity of the cow or dam; re-alimentation; regression slope; rumen environment; ruminants; serum levels; sheep breed; silage ban; simmental cattle breed; small-scale dairy farms; time of day; tyrolean grey cattle breed; weekly live weight; year-round housing; zn levels
22,4% fat-corrected milk (fcm) yield; adding fat last to the tmr; adding fat to the concentrate; adding fat to the haylage; additional factors; backfat (bf); bacteria; cafa group; calfa; calfa group; calfa supplementation; ch4 emission; cia; control cows; critically important antimicrobials (cia); diet energy density; dietary n conversion; dm content; dmi; dmi (dry matter intake); ecm; embryos; enteric methane production; fatty liver development; fpcm; grfi; gross energy; gt corn diet; hepatic triglyceride accumulation; heritability estimates; hes diet; insulin concentrations; lactating cow diet; lactating cows; linear type traits; mbw; method of incorporation of tallow; mid-test bw0.75; milk n; ndf; non-cia; nonsevere bovine clinical mastitis; nutrient digestibilities; oocytes; oocytes and embryos; pgly supplementation; plasma bhba; plasma glucose concentration; plasma insulin concentrations; plasma nefa; plasma nefa concentration; plasma nefa concentrations; plasma nonesterified fa (nefa) concentrations; prepartum; prfa; prfa group; prfa supplementation; propylene glycol; propylene glycol administration; ruminal bacterial community composition; ruminal characteristics; ruminal propionate; rup value of feeds; serum insulin; stages of lactation; total oocytes; viable oocytes
23,apparent total tract digestibilities; artificial-neural-network approach; average diameter of mfg; c10:0; c12:0; c14:0; c14:1; c15:0; c16:1; c4:0; c6:0; c8:0; canola meal; conjugated linoleic acid (cla); control diet; crushed wheat grain; dairy cows; de novo fatty acid production; diets; dry matter; el-supplemented groups; element and vitamin b12 data; estimated total amount of unsaturated fatty acids absorbed from the intestines; feeding strategies; feeding system; genetic data; genotype; glyphosate-tolerant corn silage; holstein steer calves; intake of fermentable carbohydrate; intake of fish oil fatty acids; investigation of ketosis; metabolic data; metabolizable protein; mfg distribution; mfg size; mfg synthesis; milk ca concentrations; milk cu concentrations; milk fat depression; milk hg concentrations; milk i concentrations; milk k concentrations; milk levels of β-hydroxybutyrate; milk mn concentrations; milk mo concentrations; milk p concentrations; milk performance data; partial mixed ration (pmr); pasture-fed cows; pmr+canola; production of total de novo fatty acids (ptdenovo); ptdenovo; ryegrass silage; sbm inclusion; serum cd concentrations; serum cu concentrations; serum fe concentrations; serum mo concentrations; serum v concentrations; supplemental long-chain fatty acids; total mixed ration; total mixed ration-fed cows; total p; univariate models; variance components
24,ai upon detected estrus; aocs approach; artificial insemination; artificial insemination matings; beef cattle; black forest; breeders; breeding schemes; cattle; combining cattle and sheep; commercial breeds; conserving the mc; cost reduction; cse in semen processing; day of initiation of resynchronization; experimental design; fertility; final value of mc; genetic gain; grass growth; grass-fed meat production; grazing; inbreeding management; inbreeding rate; initiation of resynchronization; longevity; minor allele frequency (mc) conservation; mixed system (mix); native genetic diversity; numbers of anovular cows; ocs approach; ovulatory response to g1; p/ai; p4 environment; p4 levels; p4 levels at g1; pedigree data; performance traits; phasing variant calls; presynchronization with gnrh; reality; reducing the mc; reduction of minor allele frequency (mc); reproductive efficiency in older cows; researchers; ruminal and duodenal cannulae; selection algorithm; selection for milk yield; selection for polled cattle; sequencing homozygous haplotype segments; sheep; short term; shortening the dry period (dp); simulation scenarios; strategy (i); strategy (ii); synchrony to the protocol; system self-sufficiency; system strengthening; time to first ovulation; timed ai with cidr-synch protocol; uterine health; vorderwald cattle; yield
25,"beet pulp substitution; bovine milk; butter-derived aqueous phase; buttermilk; c18:2 trans-9,trans-12; c20:4n-6; cheese ph; consumer acceptance; conventional cheese-making process; diet ndf concentration; diet starch concentration; emulsifying components; fat content; fatty acid profile; fatty acid profiles; feathering; feathering of creams; formulation; fractionated butter oils; functionality; group 3; lactic acid formation; lactose content; lactose content of milk; low-fat cheese; lower melting range butteroil; melting characteristics of butter oils; melting ranges; milk analysis; monounsaturated fatty acids; multivariate chemometric approach; near-infrared spectroscopy; non-dairy beverages; nutraceutical dairy products; pasteurization; ph range; physical properties of reformulated creams; polymerized liquid whey protein (ywps); principal component 1; principal component 3; protein content; rate of creaming; reformulated creams; ruminal acetate:propionate; ruminal microbial protein production; saturated fatty acids; sensory properties; sensory quality of creams; separation temperature; skim milk; supplemented diets; sweet buttermilk; syneresis; texture; titratable acidity; total protein content; total solids; unit operations; valerate absorption rate; viscosity; water addition; whey protein (ywps); whole milk"
26,acetyl-coenzyme a carboxylase activity; adenosine inhibitory signaling cascade; adenosine's ability to inhibit lipolysis; aspirated oocytes; bacterial infection; beta-adrenergic-stimulated lipolysis; body reserve levels; bovine mammary glands; bst; bst treatment; change in body reserves traits; changes in body reserves; cooled (cl); countries; cytokine response; dairy gyr cattle; disease occurrence; early lactation; ebv; embryo in vitro production; energy mobilisation; environments; fatty acid synthase activity; fertility in ewe lambs and adult ewes; genetic correlation; genetic correlations; genetic selection decisions; genotype and bst interaction; genotype-by-environment interactions; heritabilities; hip height; ilium width; in vitro embryo production; intramammary bacterial infection; lactation milk yield; lag adjustment factor; late gestation; lda+; life_eff; lifetime efficiency; lifetime lactation efficiency; lipid synthesis in adipose tissue; lipogenesis rates; lipolytic response to catecholamine; management group; milk k and serum k; milk synthesis; multiple-trait model; multitrait across-countries evaluation (mace); net energy balance; noncooled (nc); nonpregnant cows; optimal adg; phenotypic correlation; proinflammatory signaling; reduced serum ca concentrations; rump area; selection; selection of individuals; severe feed restrictions; stimulatory signaling pathway; teat-canal challenge
27,"3,5,3'-triiodothyronine; [u(13)c]-glucose; alcohol-induced dysbiosis; alcoholic liver disease (ald); ald; ald protection; cattle claw; cattle claw horn; colostrum; cortisol; deuterium-labeled water; disease alleviation; egp; endogenous glucose production (egp); glucagon:insulin ratio; gluconeogenesis (gng); glucose disposability; glucose homeostasis; glucose oxidation (gox); glucose-6-phosphatase; group 1; group 2; gut dysbiosis; gut microbiome; gut microbiome changes; gut microbiota composition; gut microbiota diversity; gut microbiota richness; gut microbiota stability; hepatic glycogen concentrations; hoof growth; horn progesterone concentrations; inositol; liver damages; liver inflammation; liver metabolism; long-term heavy drinking; milking dairy cows; neonatal calves; ontogenic development; ontogenic maturation; oxidative stress; pepck activities; peripartum periods; pgly group; phosphoenolpyruvate carboxykinase (pepck); plasma glucose concentrations; plasma lactate concentrations; plasma urea concentrations; pregnancy; preterm calves; probio-m8-fermented milk; probiotic-fermented milk consumption; progesterone; progesterone level; pt calves; pyruvate carboxylase; semi-skim milk; sole horizontal sections; sole transverse sections; tryptophan; vitamin k2"
28,4% fat-corrected milk; alh diet; american dairy science association; american dairy science association®; bias; calf transportation research; calving interval; cc by license; cc by-nc-nd license; cit diet; cma; cma diet; cma supplement; con diet; concentrations of ceph and dac in milk; cow conception rate; cross-countries genomic prediction; dairy cattle; dairy form; dairy products; dairy science research; deregressed ebv; diseases; elsevier inc.; fass inc.; fat concentration; fat yield; federation of animal science societies; fluorescence elisa research; genomic predictions; gwa analyses; heifer conception rate; independent significant snp; length of dry period (dp); limestone; liquid chromatography-mass spectrometry; mace ebv; metabolomes; multitrait approach; national ebv; neb states; open access article; plasma serum amyloid a concentration; polled haplotype; protein fractions; protein yield; reliability; ruminal fluid ph; serum p concentration; single-trait approach; single-trait productive life; snp; snp markers; somatic cell score; stature; test-day records; transition period
29,2009 period; additive breed effects; alternative strategies; animal effects; breed; breeding decisions; breeding value estimation; catastrophic risk management program; class iii milk; copper; corn futures prices; country-specific reference measurement error variances; covariance functions; dairy farm managers; dgat1 genotype; distillers grains diets; ecm (energy corrected milk); fa c18:3 n-3; fa composition; fat yields; genetic variances; genomic pta (gpta) values; heterosis effects; hfdg diet; home-feed profile; income over feed cost (iofc) margin risk; iofc margin conditions; iofc margins; lactation length; livestock gross margin for dairy cattle insurance contracts; long-chain fatty acids; market-feed profile; mean-reverting behavior; milk yields; multiplicative heterogeneous variance adjustment method; optimal strategies; oxidation process in milk; polyunsaturated index; protection initiation; protein yields; recovery time; restricted feed allowance; risk exposure; risk management programs; risk management strategies; slopes of the forward margin term structure; sof; sof development; sof development risk; soybean meal futures prices; spontaneous oxidized flavor (sof) development; trait associations; unanticipated shocks; unrestricted feed allowance; unsaturated fa; variance component estimates; withers height
30,additional fibre; adipocytes; ammonia recovery at the distal ileum; bacterial efficiencies; bacterial efficiency; bacterial metabolism; bacterial n production; bacterial protein production; bw at calving; cell proliferation; crude protein; degradable intake protein; dietary energy; dietary protein; dietary protein content; dilution rate; dm digestion; dna synthesis; dulbecco's modified eagle medium; energy concentration; faac; faac (flux of amino acids); faac estimation; faac in the small intestine; fetal bovine serum; high-energy diets; holstein x jersey crossbreds; igf-i; insulin-like growth; isotope infusion study; leptin; low-energy diets; lowering protein intake; mammary development; mammary epithelial cell proliferation; metabolizable protein (mp); mid-lactation cows; milk protein synthesis; milk protein yield; ndf digestion; neutral detergent fiber; nitrogen flux; nonstructural carbohydrate; nonstructural carbohydrate:degradable intake protein ratio; postabsorptive n efficiency; ruminal digestion; simplified dmi prediction equation; solids retention time; total mixed rations (tmr); two-pool model; urea flux; urea recycling; urinary urea excretion; vfa production
31,"1,2-dioleoyl-sn-glycero-3-phosphocholine; 1-o-(cis-9-octadecenyl)-2-o-acetyl-sn-glycero-3-phosphocholine; 2-oxadipic acid; acetylcarnitine; bayesian lasso method; bilirubin; c group; computation; creatinine; d-aspartic acid; daughter pregnancy rate; deletions; dgv; fat percentage; genomic data; genotyped numbers; genotypes; glycerophosphocholine; glycine; haplotypes; hmc; insertions; jersey sires; l-glutamate; l-palmitoyl carnitine; m group; m group rat serum; milk composition data; milk metabolites; n6-methyl-l-lysine; oleic acid; phosphocholine; predicted transmitting abilities (pta); progeny testing; protein percentage; pta; quantitative trait loci; single nucleotide; single nucleotide polymorphism (snp) loci; single nucleotide polymorphisms; snp effects; snp genotypes; t group; t group rat serum; testing set; testing set accuracy; thioetheramide-pc; thymine; training set"
32,50% holstein-friesian-50% jersey cow; age at slaughter; animal breed proportion; animal sex; anthelmintic treatments; bhb concentrations; blood biochemical profile; calf performance; carcass characteristics; carcass conformation; carcass fat score; carcass weight; cat system; cia treatment reduction; concentrate consumption; cow bw gain; cow productivity; crossbred dairy progeny; dairy herds; dam breed proportion; dietary effects; digestibility trial; ewe productivity; ewe prolificacy; external inputs; f1 holstein-friesian × jersey cross; fcr; growth rate; holstein-friesian sire and jersey dam; jersey breed proportion; jersey sire and holstein-friesian dam; low plane of nutrition; mix system; national database; parity of the cow; purebred holstein-friesian cow; purebred jersey cow; reproduction; rumen fermentation attributes; sh system; sire breed proportion; unrewarded visits to the feeder; young animal carcass weight; zn excretion; zn oxide; zn retention; zn source; β-hydroxybutyrate (bhb) concentrations
33,abomasum; acid production; additional support; adolescent and adult cattle; alternating whey/uf feed; antioxidants; c. parvum; cardiovascular health; cattle agriculture; cattle of all ages; commercial applications; cryptosporidia; cryptosporidium muris; dairy cattle welfare; dairy industry; environment; further research; genetic diversity; health problem; hoof-trimmer or veterinarians; husbandry changes; husbandry practices; icr mouse and rat models; l. delbrueckii ssp. bulgaricus; lactic acid bacteria; lameness; lameness reduction; maillard reaction products (mrp); membrane biofilm formation; mice; optimum approaches; population structure; productivity; protein digestion; protein precipitation; public health; research team support; reverse osmosis (ro) membranes; shedding; supercritical fluid extraction with co(2); treatment planning; uk dairy farms; ultrafiltration (uf) permeate; welfare; whey
