|node_1|node_2|edge|chunk_id|count
5418|dry period ration|fractional absorption rate (ka) of volatile fatty acids (vfa)|The dry period ration, consisting of grass silage, corn silage, wheat straw, and other components, may influence the fractional absorption rate of volatile fatty acids (VFA) in the rumen.|831e0b1847054c12827e803304210e56|1
4357|principal component 3|skim milk|Skim milk had lower scores in Principal component 3.|99c77899b83d4edbbdd87e1564eb8daa|1
6077|finishing diet|ad libitum basis|The finishing diet was fed on an ad libitum basis.|7770d86e19e2480d9a16ab9426a59cf3|1
1199|multivariate statistical analysis|factor importance|Multivariate statistical analysis is used to determine the importance of various factors, including pH, on yellow color formation.|031685458a574d69b7664e63307b9ff6|1
660|reduced ruminal protozoal population|fibrolytic activities of ruminal fluid|Reduced ruminal protozoal population had a negative effect on fibrolytic activities of ruminal fluid.|c2d695087b1846c2a56d4afc7a419249|1
5356|general health|clinical mastitis|General health of the cow may influence the incidence of clinical mastitis.|07abaedea0554e4192949c766b34badc|1
2085|cephapirin (ceph)|mammary gland|Cephapirin is metabolized in the mammary gland to desacetylcephapirin.|6b8dd15a675b482da42dccd674e8d96e|1
153|wilting alfalfa|nh3 treatment|Wilting alfalfa was more effective in improving nutrient use by heifers than treatment with NH3.|da1adb650f4b4ba3872d91a24759ad7d|1
1124|lpf1|mpec invasion|LPF1 contributes to MPEC invasion in vitro.|7bb4201b4fa540419ed8e9278f7dc60e|1
294|bhba|liver triglyceride|Prepartum plasma BHBA was strongly correlated with liver triglyceride at 1 d postpartum.|55f2aac93e2d426486ab691c9cedf947|1
4188|zn sources|zn hydroxychloride|One Zn source was 75 mg of Zn hydroxychloride/kg of DM (IOZ).|f96ff10207244d3f908af3352a2816b4|1
4911|fat content|milk composition|Fat content is a component of milk composition, with a specified percentage of 2.5% in the investigated milks.|1ef13de266ef449887cc41f69dead349|1
3217|cla|milk fat depression|CLA induces milk fat depression.|26f39c81417c45b498935c36cc597a45|1
196|calcium chloride precipitate|α(s)-casein solubility|The solubility characteristics of α(S)-casein are related to its behavior in calcium chloride precipitate.|e57976a9bb3f46629ed5334488be7310|1
1394|additional factors|rup value of feeds|Additional factors can affect the RUP value of feeds, and quantifying these effects may require further refinements.|5316ade4ecad48d1a9b21f8a45f7f9a0|1
2510|metritis treatment|pregnancy at first insemination (p/ai)|The efficacy of metritis treatment is evaluated based on its effects on pregnancy at first insemination (P/AI).|11976594d77c45db875477c05c972577|1
2466|weight|gain|Weights and weight gains are closely associated with gain, suggesting that growth patterns are a critical factor in determining overall gain in heifers.|c284471e71604d40a3abf4a9654c0e4f|1
827|jersey breed proportion|carcass characteristics|The study quantified the carcass characteristics of young animals and cows differing in their fraction of Jersey breed.|d7079db2c0eb47abb37e3f8bed463eca|1
4402|ch+ (severe clinical hypocalcemia)|serum ca concentrations|CH+ is associated with significantly reduced serum Ca concentrations in multiparous cows on d 3 and 7 after calving.|dbb6909568564eb3a78c942d5b17369b|1
4876|dgv|snp effects|Direct genomic values (DGV) for sires in the testing set were computed by multiplying the estimated SNP effects by corresponding genotype dosages.|489211861d2b4dad8b67f07ba9c0f350|1
2002|gestation lengths|breeding dates|Gestation lengths were determined from breeding dates.|68c7f9a8775f4224ba946e71b4029b20|1
2346|gsgme supplementation|fgf 21|GSGME supplementation reduced the mRNA abundancy of fibroblast growth factor (FGF) 21, a stress hormone, in the liver.|d419aafac85e49199b99c0f33222f556|1
1443|bst treatment|acetyl-coenzyme a carboxylase activity|bST treatment dramatically decreases the activity of acetyl-coenzyme A carboxylase in adipose tissue.|abdd557dbd6b44089fe6d4680beb50c9|1
5238|ms group|changes to husbandry practices|Farms in the MS group made a greater number of changes to their husbandry practices over the duration of the project.|568abe332445416abc0cc69149e35473|1
4279|dairy protein|fecal mucin excretion|The effect of dairy protein on mucin production was determined by quantifying fecal mucin excretion, indicating a relationship between dairy protein intake and mucin excretion in the feces.|abdeb39dea6643e48d46579760d974b6|1
5708|enteric methane production|dmi|Enteric methane production is estimated using DMI in the equation CH4 (g/d) = 2.54 + 19.14 × DMI.|10beb11ae57447ee85ccd23373ef5de8|1
4527|hmc|protein percentage|Replacing DC with HMC decreases the percentage of protein.|d384fd5b1c7d41ccbfa9db918a3b6e44|1
2284|abnormal clinical signs|brd case status|Abnormal clinical signs, such as cough, were used to determine BRD case status.|345375d527e54b26a6f9d8da5e327b04|1
3567|soybean meal (sbm) variants|in vitro intestinal digestibility|Seventeen SBM variants were tested for in vitro intestinal digestibility of rumen undegradable protein.|11d7c41bd8924fb382f6004686a2124b|1
3067|ca diet|lps binding protein|Goats fed a CA diet tended to have lower concentrations of LPS binding protein.|33ccb0394d0e44d69f78820687d2aa6e|1
3449|ca|heritability|The heritability estimates for Ca in milk and serum were 0.20 and 0.12, respectively.|a46ef3fe0a544e2ca3df245c5d234f4e|1
2005|heifer calves|gestation length (gl)|Heifer calves had shorter gestation lengths (GL) compared to bull calves.|0a3e755f790f43e99ac7cefd208f7cb1|1
874|beef farmers|rearing animals|Beef farmers are involved in rearing animals for slaughter.|c0ed840eb5e3402b8ea45c9f733d26e8|1
6313|supplement amounts|ruminal ammonia concentrations|Ruminal ammonia concentrations linearly decreased with amounts of supplement fed.|204b58867d644833b2231be6eb173cdd|1
5300|horn sample weight after freeze-drying|horn sample weight after hydration|A significant positive correlation was found between the weight of the horn samples after freeze-drying and their weight after hydration, indicating a direct relationship between these two measurements.|f0f10e4ef71847b19a762fc2cc3369d7|1
3582|ruminal incubation time|insp6 concentrations|The concentrations of InsP6 in bag residues decreased constantly with longer ruminal incubation times.|b5fa6a0261d54aa497c473ac75219061|1
3251|aocs approach|inbreeding rate|The aOCS approach can manage the classical rate of inbreeding by constraining the rate of inbreeding at native alleles.|9684cff4802e44e8b2042364187cfc3b|1
610|ob-ra mrna|spleen|mRNA expression of the short form of leptin receptor (Ob-Ra) was detected in spleen.|1c78a04967424fb8b3d593eb38449a98|1
5242|uk dairy farms|lameness reduction|Lameness can be reduced on UK dairy farms with appropriate interventions.|568abe332445416abc0cc69149e35473|1
959|ph-sa|il-1β mrna expression|Ph-SA promotes the expression of IL-1β mRNA in Staph. aureus-infected BMEC.|3eeb4e64172c45e9beeeadcbdbe7adc3|1
3011|challenged quarters|control quarters|Challenged quarters and control quarters are compared to study the effects of intramammary bacterial infection.|66d45fae81824519a29b8831ebf424a6|1
5028|selection|optimal adg|The optimum average daily gain (ADG) will likely increase over time due to selection.|c1291ae7213543c3899bcd95a80b0d98|1
3105|milk composition|geographic area|Geographic area affects milk composition in the milkshed comprising herds in New York, western New Jersey, and central and eastern Pennsylvania.|88604e4cb8ea49b2933681ace242b0fa|1
304|modeling|raw data|Modeling involves editing raw data to remove environmental effects and account for genetic by environmental interactions.|11a4372651b44edea4433e52b767f156|1
4086|cooling cows in stalls|heat stress alleviation|Cooling cows while in their stalls could help alleviate heat stress, suggesting a potential method for reducing heat stress.|27ae1a749fd9424b8bacced69e1f5b05|1
4554|parity|dams|Parity was recorded for all dams to consider its potential effect on insulin traits in newborn calves.|33043eb052744b358ebdc738106aa3a0|1
5005|multiplicative heterogeneous variance adjustment method|country-specific reference measurement error variances|The multiplicative heterogeneous variance adjustment method had to be tailored using country-specific reference measurement error variances.|5be7c04499af4473b60ce4b8febd6167|1
6147|mammary gland tissue-specific expression vector|antimicrobial peptide genes|The mammary gland tissue-specific expression vector carries the antimicrobial peptide genes.|0ecb0ff1f0034cb18438f02bf02cfd67|1
3639|transportation|salivary cortisol concentrations|Transportation influences salivary cortisol concentrations in animals, as measured in 3 studies.|42fb89b05f5c4cfa886f9281a54030f9|1
885|ripening process parameters|sensory descriptors|The main process parameters of the ripening process, including temperature and RH, affect the sensory descriptors of Camembert cheeses.|7ea6a2ac11d34675868d9736440d3687|1
4568|heifers|cows|Heifers and cows are both part of the study, with calves born to each group.|ed6735ec50c741d89859dc33bcfcd8bd|1
4661|high energy diets|ruminal fluid volatile fatty acid concentration|High energy diets increased total ruminal fluid volatile fatty acid concentration.|d49194589c9b4a939361bab296a29368|1
1907|teat-dip formulation|intramammary infections (imi)|The teat-dip formulation was evaluated for its efficacy against intramammary infections (IMI).|efa7e0358fef4ed191b529a8dc3dc5c3|1
5226|monitoring only (mo)|farm participation|Monitoring only may not be sufficient to encourage farmer participation in husbandry changes.|b77fd5bb54ad4ca699691b786123f62d|1
4689|agrii gene|clinical mastitis|Isolates containing the agrII gene were more prevalent among clinical mastitis cases.|88637de61acf47998308b79c3fc34696|1
4816|cse in semen processing|p/ai|Incorporation of CSE in semen processing tended to improve P/AI when heifers received AI upon detected estrus or timed AI.|7ae1c97c3663484597435f1bf69608c3|1
3900|artificial insemination|sheep|Artificial insemination matings are being used to study fertility in sheep.|8d87f99feff346338617ab2949ee8f78|1
2603|decorin to total collagen ratio|overall liking|The ratio of decorin to total collagen is positively correlated to overall liking.|deb8884886694756b76ceb8b7eca7fff|1
1892|elovl5 knockdown|c16:1n-7 concentration|Knockdown of ELOVL5 increases the concentration of C16:1n-7.|c6765e1f0ed34042b1820603a876d7b0|1
1489|ewe bw (ebw)|lamb bw (lbw)|Ewe BW (EBW) is related to lamb BW (LBW) in sheep.|78dddb10e775485a8ba33857282f3330|1
5751|glycogen concentrations|liver|Glycogen concentrations are measured in the liver of calves after slaughter.|f7516cbc29db47c8a8784c57632d2c01|1
987|control cheese|ketone concentration|The total concentration of ketones in control cheese was 6.49 mg/kg at the initial stage of ripening and increased to 52.43 mg/kg after 6 months of ripening.|b37fa803eb6043c3b9caf3f7c737f2c6|1
644|la|xylanase activity|LA decreased xylanase activity of ruminal fluid by 36%.|3f3cd3127d264eb6a2debe7dbe5ca1ad|1
5535|economic values (evs)|traits|Economic values (EVs) are calculated for a complex of traits.|0368ef9c98c340c29679affaebe11299|1
1688|moderately diseased cows|circulating polymorphonuclear leukocytes|The number of circulating polymorphonuclear leukocytes was greater for the moderately diseased cows than for the severely diseased cows before and during experimental mastitis.|f1912f83a0384dab80401857ba0d4642|1
3804|extruded linseed (el)|milk fatty acid (fa) profile|Feeding dairy cows extruded linseed (EL) affects the milk fatty acid (FA) profile.|269f95e742e34b38a490f0e4126a304f|1
2467|rumination time (rt)|dry matter intake (dmi) prediction|The inclusion of rumination time (RT) affects the prediction of dry matter intake (DMI) in the 2001 National Research Council (NRC) model.|c4358d2e56154979b811608a7ae1e7f8|1
1192|high-starch diets|nis|The effectiveness of NIS is compared when fed with high-starch diets, indicating a relationship between NIS and dietary starch levels in dairy cow nutrition.|696bd69448bb49edb67d02d5b766616a|1
1570|microbial efficiency|turnover of microbial protein|The positive correlation between microbial efficiency and passage rate of particulate matter is probably due to reduced turnover of microbial protein in the rumen.|8d7cd770b8bd41a4bd95ce24d230b50d|1
6141|mammary cells|bovine tracheal antibacterial peptides synthesis|Mammary cells are enabled to synthesize and secrete bovine tracheal antibacterial peptides through a plasmid-mediated gene transfer technique.|166ccf9c42ce43bbbed015e6425bfc78|1
2388|dietary treatment|milk lactose concentrations|Dietary treatment did not influence the concentrations of milk lactose.|50dff33db030450597f475f72ea705d6|1
3775|rectal palpation|vaginoscopy|Rectal palpation and vaginoscopy were used to examine cows.|915a45de6e6e4f3ea2e2b711697d83a5|1
6419|genetic group|lactation records|Genetic group affects lactation records in cows.|e25f9a5048054ccabc12d62f72e59889|1
1513|cu levels|backfat thickness (bft)|Higher Cu levels are favorably associated with BFT at weaning in both breeds.|f65182103d4844b8913e79eaeee336d9|1
4325|unsaturated fa|spontaneous oxidized flavor (sof) development|Milk concentrations of unsaturated FA show strong and unfavorable associations with spontaneous oxidized flavor (SOF) development.|da017185f9fc4766b4ea4689517a9016|1
1462|ncbi database|l. delbrueckii ssp. bulgaricus genome sequences|The NCBI database is a source of L. delbrueckii ssp. bulgaricus genome sequences.|97c3ce1fd09b4622afa84ae7bc23304a|1
2588|decorin|pgs|The ratio of decorin to PGs may impact shear force and quality traits.|4aa095fcedfa4fa8a43a207f5ba9d150|1
3867|atlantic canada dairy herds|low-quality colostrum|The study assesses low-quality bovine colostrum in Atlantic Canada dairy herds.|170fe7398f9a4a938250b12beb3f8684|1
1591|internal teat sealant|treatment group|All cows received an internal teat sealant regardless of treatment group.|55a3be5090394821acb9fdb7f32d1afd|1
2132|treatments|plasma concentrations of thr|Calves fed all treatments had greater concentrations of Thr relative to calves fed CON.|077a124fd59e4ed9b3ed497d8eb9cc26|1
3442|by-product diet|milk concentrations of mg|Cows on the by-product diet had increased milk concentrations of Mg.|a46ef3fe0a544e2ca3df245c5d234f4e|1
317|computation|genomic data|Computation using genomic data can be reduced by selecting subsets of the data.|d6ee14cfc9454997a7099157e45bc420|1
95|oleic acid|m group|The content of oleic acid is significantly increased in the M group rat serum.|440ea30af229449c920d79997f75839e|1
3763|flunixin meglumine (fm)|fibrinogen|The administration of flunixin meglumine (FM) is evaluated by analyzing serum concentrations of fibrinogen.|a096264a50e64b478d386f1054f30c84|1
3911|prfa supplement|metabolism|The PrFA supplement was used to investigate its effects on metabolism in dry multiparous cows.|67f25ff1cba9404f9043993b77d8e1ea|1
2609|decorin|meat texture|Decorin, a component of ECM, can affect meat texture.|1c74df3b5f89417988190f99f1c59df2|1
2876|conditional analyses|fine mapping|Conditional analyses were used for fine mapping, showing a methodological relationship between the two techniques.|cacf967f4dff44b1ac10d6c095d1c0ed|1
2597|tenascin-x to total pgs ratio|abnormal beef flavour|The ratio of tenascin-X to total PGs is negatively correlated to abnormal beef flavour.|deb8884886694756b76ceb8b7eca7fff|1
4619|test-day milk yield (my1)|disease incidence|An increase of 1-kg in MY1 is associated with a specific increase in disease incidence, as quantified by lambda21, ranging from 0.006, showing a direct relationship between milk yield and disease incidence.|450fdbd39a3d4dc4bbced1ebc8ba6f1a|1
1826|crossbreeding|longevity of dairy cattle|Crossbreeding has been shown to improve the longevity of dairy cattle.|c5238d7b698243fa9268741f467171a8|1
3780|cef + fm|fever|CEF + FM treatment does not significantly reduce the proportion of cows with fever 1 d after the first treatment.|78b2eb1f4b474c9a8d2ab9aec66d5ff8|1
1702|1.0% ay diet|feed efficiency|Using 1.0% AY in the diet seemed to improve feed efficiency in weaning pigs.|6f776aabc94344d3b72a4cddc61a2af0|1
4398|apm (acute phase response, mild)|serum ca concentrations|APM is associated with significantly reduced serum Ca concentrations in primiparous cows on d 3 and 7 after calving.|dbb6909568564eb3a78c942d5b17369b|1
5051|detection wavelength|280 nm|The detection wavelength is set at 280 nm for the chromatography analysis.|4d64db25a4414f458772fc5004942ee1|1
5041|raw milk adulteration|nutritional value of milk|Raw milk adulteration reduces the nutritional value of milk.|d07a999700ae4bbc8220b251e14ee7e6|1
946|lactoferrin|mrna expression|The mRNA expression of lactoferrin increased at 6 h postinfection in both the rifampicin and Ph-SA groups.|1662d19e51244d5faee168e5307cc47b|1
1543|selection algorithm|cost reduction|The new selection algorithm contributes to a significant reduction in the overall cost of variant discovery.|b1dece0b654647f2917839c78ced2dba|1
4457|combined treatment|residual cell wall monosaccharides|The combined treatment results in lower residual cell wall monosaccharides.|11646467c01d48da9a9cdf4237b9f0c4|1
6475|csn1s2|αs2-casein|CSN1S2 is also known as αS2-casein.|5000484619434247a2837425f59680f7|1
1548|dried, pelleted beet pulp|ruminal fermentation|The effects of increasing concentrations of dried, pelleted beet pulp on ruminal fermentation were evaluated.|f5afdd6cc27e41dd9efb8d5e9975e3ac|1
3835|daily intake of fat from el|rumenic acid levels|Increasing the daily intake of fat from EL leads to a linear increase in rumenic acid levels.|a79d1504aac548c2bf19eb28eca265ea|1
3328|days dry|reproductive measures|Days dry may influence reproductive measures such as days to first postpartum ovulation, days open, and pregnancy per artificial insemination (AI).|496e1979337e4a14be8adbd60cfa884b|1
3499|multitrait across-countries evaluation (mace)|genetic correlations|MACE assumes genetic correlations between countries are equal to 1.|2fa673a856d9491e9bc932093ee489bd|1
4884|sire genotypes masking in training set|mean correlations between dgv and pta|Masking genotypes for a random 50% of sires in the training set resulted in mean correlations of 65.7, 63.2, 53.9, or 49.5% respectively.|245b38eeed494a7d964e1678278d4a78|1
5852|medium plane of nutrition|triglycerides|Jersey calves on a low plane of nutrition tended to have greater triglycerides than those on a medium plane of nutrition.|682a0653d4a54deaabb8d2f9ed1720a1|1
2948|students' majors|academic disciplines|For statistical analyses, students' majors were categorized into animal and poultry sciences (APSC), agricultural sciences, biochemistry, etc.|6b4935da12904186acd0a1016367ece1|1
6145|eukaryotic expression vector pires1-neo|mammary tissue-specific expression vectors|The mammary tissue-specific expression vectors were constructed using the eukaryotic expression vector pIRES1-neo.|166ccf9c42ce43bbbed015e6425bfc78|1
892|microbial enzymatic activities|sensory descriptor changes|All sensory descriptor changes could be explained by microbial enzymatic activities.|5f18ca7c89ad472aa090b0ad5c8797df|1
630|sodium laurate|nutrient digestibility|The effect of sodium laurate on nutrient digestibility was investigated in the trial.|e42bad10b705416cae9da57e5bb68b70|1
6001|wilted grass|protein degradability|Protein degradability of wilted grass was similar to that of fresh grass and lower than that of silage.|fc9a5396671d4471b5a0ef5d4c12480d|1
1021|con-res feed|uteroplacental flux of total α-aa|Uteroplacental flux of total α-AA was decreased in CON-RES v. CON-ADQ.|c945dcf0cf7248ac8d66d02b89dd3d6f|1
6032|membrane resistance|β-lg mass flow|Membrane resistance affects β-LG mass flow in crossflow microfiltration.|268366ce456d42a8bede88999cc5d7de|1
717|serum glutamic pyruvic transaminase|time|The activity of serum glutamic pyruvic transaminase increased over the first 24 h and then decreased after 24 h for group 1.|626baa3144a24f6aab3cf4fc3b17019c|1
3199|diets|apparent total tract digestibilities|The apparent total tract digestibilities of various nutrients were not different among the diets used in the experiment.|129a9507095e44c9a640c3cbf6baa95d|1
5999|silage|protein degradability|Protein degradability was greater for silages than for fresh and wilted grasses.|fc9a5396671d4471b5a0ef5d4c12480d|1
1507|copper (cu)|ewe blood parameters|Copper (Cu) is one of the ewe blood parameters determined.|2e226e9fc76b4ed8a3a4cca2421ebf69|1
2530|ceftiofur|ampicillin|Ceftiofur and ampicillin have different cure rates of metritis, with ampicillin being more effective on d 7.|7248e5d1d60f4c6f86dd09c343374f28|1
3222|vorderwald cattle|black forest|Vorderwald cattle are a regional cattle breed from the Black Forest in south western Germany.|11c5d00c983342be80a2f8b050202701|1
6058|neutrophils|escherichia coli|Neutrophil phagocytic and oxidative burst capacities were measured when exposed to an Escherichia coli.|0611e480fb2243a68670424cd13af8aa|1
4082|sample type|test results|The type of sample tested should be considered due to its effects on the determined results.|891e73aeabb74fc6a6617ecfbbd93fa1|1
3997|beta-galactosidase|edta|EDTA had no effect on beta-galactosidase.|0875923c7e5644c1a8dc4c3304b12dc4|1
3100|milk yield|season|Season affects milk yield in the milkshed comprising herds in New York, western New Jersey, and central and eastern Pennsylvania.|88604e4cb8ea49b2933681ace242b0fa|1
5428|basal lactation ration|grass silage|The basal lactation ration contains 42% grass silage on a DM basis.|7b7b928d19754848aefdc4b3119d18fd|1
746|casp kids|skin temperatures|CASP kids had elevated skin temperatures relative to CAUT kids at all time points post-treatment.|9d79b1fd6d8e45299bf4040250342e7b|1
1401|single-step mixed-model equations|records|The single-step mixed-model equations include records, in addition to pedigree information.|27cd622b9e6447ceb96eaf3aba93ef99|1
144|heifers|tissue n retention|Heifers fed low DM silage had lower tissue N retention than those fed high DM silage.|3f7babca34764f2cbae48bef30851f9a|1
4496|dietary ruminally fermentable carbohydrate (rfc)|performance|Level of dietary RFC affects performance in dairy cows.|8177ff4a793f46d494bb568fb070e7c9|1
3268|calcium concentration in brine|calcium loss from cheese|An increase in calcium concentration in the brine to 0.25% reduces calcium loss from the cheese.|e0a7fbb35a7841aa994c58f5c422f1fe|1
3995|beta-galactosidase|v(max) value|The V(max) value of beta-galactosidase was 6.62 micromol/min per mg.|0875923c7e5644c1a8dc4c3304b12dc4|1
970|ph-sa|staph. aureus|Ph-SA may be used to combat Staph. aureus infection in bovine mammary epithelial cells.|278d5d51c0ae474ca96958a1768ec286|1
1756|excessive lipolysis|disease susceptibility|Excessive rates of demand lipolysis are associated with increased susceptibility to disease.|c9d9d9b7fecd497087309ddc87e01195|1
2844|dry therapy group|scc|The dry therapy group was a significant factor influencing variation in Somatic Cell Count (SCC).|f6a3984cf0d54846937eb6be1942d25e|1
2965|biology majors|final course grades|Biology majors had higher final course grades (82.4 ± 0.6) compared to all other majors.|9eb2bf6167d7402d951a682fca71d395|1
1079|conventional milking system farms|ams farms|Risk factors on conventional milking system farms are applicable to AMS farms, particularly regarding hygiene of cows and milking machines.|7caa3cd9fae6421c86778d46a0459fcd|1
3375|body condition score prebreeding|birth sex ratio|No relationship was identified between body condition score prebreeding and birth sex ratio.|d4fd6ac5b9774882a8521049eb66b5d0|1
3885|fertility in ewe lambs (pr(1))|genetic parameters|Genetic parameters were estimated for fertility in ewe lambs (PR(1)) using a multiple-trait sire linear model.|1fe42726a5cb42e3bae65a87c5c29e7d|1
5133|polled haplotype|cow conception rate|The polled haplotype has an effect on cow conception rate in US Brown Swiss, Holstein, and Jersey cattle.|718034aa296348d9af942369d5008443|1
5341|nitrogen efficiency|energy supplies|Nitrogen efficiency is affected by energy supplies.|8ffddc3901004af2971f247209422f5d|1
902|over-ripening|dark brown color|Over-ripening of cheese can result in a dark brown color.|5bcc77c8c7794e30ad29d2072dab4478|1
